customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,Yes,No,63,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,74.48,4704.92,Yes
CUST-00001,Female,0,Yes,No,15,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,51.07,758.6,No
CUST-00002,Female,0,No,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.96,1778.46,No
CUST-00003,Male,0,Yes,No,27,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,41.19,1101.68,Yes
CUST-00004,Male,0,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),73.88,531.31,Yes
CUST-00005,Female,0,No,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,33.55,1176.78,Yes
CUST-00006,Male,0,No,No,34,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,59.17,1996.03,No
CUST-00007,Female,0,Yes,No,36,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,87.13,3152.61,Yes
CUST-00008,Male,0,Yes,No,62,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),102.65,6360.31,No
CUST-00009,Male,0,No,Yes,20,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),37.3,726.08,No
CUST-00010,Female,0,No,No,46,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Mailed check,40.97,1879.81,No
CUST-00011,Female,0,No,Yes,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,31.48,437.97,No
